trade_id,bot_id,strategy_id,symbol,asset_class,section,side,qty,acquired_date,acquired_time,disposed_date,disposed_time,cost_basis_usd,proceeds_usd,gross_pnl_usd,holding_period_days,is_long_term,is_section_1256,wash_sale_flag,exit_reason,regime,confluence_score,notes
f6490c5d7730,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,SELL,0.85948784,2026-02-04,2026-02-04T14:55:00+00:00,2026-02-04,2026-02-04T16:45:00+00:00,21658.66,21442.56,216.1,0.0764,False,True,False,target_hit,orb_breakout,10.0,
9b9bf1f77285,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,SELL,0.63863932,2026-02-05,2026-02-05T15:05:00+00:00,2026-02-05,2026-02-05T16:55:00+00:00,15758.9,15869.12,-110.21,0.0764,False,True,True,stop_hit,orb_breakout,10.0,
09cf4ce7343c,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,BUY,1.05310114,2026-02-06,2026-02-06T14:45:00+00:00,2026-02-06,2026-02-06T15:00:00+00:00,26255.39,26146.28,-109.11,0.0104,False,True,True,stop_hit,orb_breakout,10.0,
a2b155f30d9c,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,BUY,1.30534985,2026-02-09,2026-02-09T14:45:00+00:00,2026-02-09,2026-02-09T16:15:00+00:00,32857.29,33073.32,216.04,0.0625,False,True,False,target_hit,orb_breakout,10.0,
a6f3266e4f7f,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,SELL,1.76184283,2026-02-10,2026-02-10T14:45:00+00:00,2026-02-10,2026-02-10T14:50:00+00:00,44536.74,44646.92,-110.18,0.0035,False,True,True,stop_hit,orb_breakout,10.0,
1a467396fbc7,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,SELL,1.11873128,2026-02-11,2026-02-11T15:00:00+00:00,2026-02-11,2026-02-11T15:20:00+00:00,28286.0,28067.85,218.15,0.0139,False,True,False,target_hit,orb_breakout,10.0,
052ebe5f485f,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,SELL,1.53990035,2026-02-12,2026-02-12T14:45:00+00:00,2026-02-12,2026-02-12T15:40:00+00:00,38884.02,38661.51,222.52,0.0382,False,True,False,target_hit,orb_breakout,10.0,
ed701a3d069c,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,BUY,0.71987404,2026-02-13,2026-02-13T15:05:00+00:00,2026-02-17,2026-02-17T02:00:00+00:00,17855.4,17741.91,-113.48,3.4549,False,True,True,stop_hit,orb_breakout,10.0,
2a11dfe042b3,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,SELL,0.80805281,2026-02-17,2026-02-17T14:50:00+00:00,2026-02-17,2026-02-17T16:05:00+00:00,19822.55,19934.89,-112.35,0.0521,False,True,True,stop_hit,orb_breakout,10.0,
d2e9d2221095,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,BUY,1.25273194,2026-02-18,2026-02-18T14:50:00+00:00,2026-02-18,2026-02-18T15:15:00+00:00,31176.11,31398.56,222.45,0.0174,False,True,False,target_hit,orb_breakout,10.0,
a936d172a76f,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,BUY,1.10759331,2026-02-19,2026-02-19T15:00:00+00:00,2026-02-19,2026-02-19T16:45:00+00:00,27606.76,27493.31,-113.45,0.0729,False,True,True,stop_hit,orb_breakout,10.0,
db213ccd7c9a,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,BUY,1.09996908,2026-02-20,2026-02-20T14:45:00+00:00,2026-02-20,2026-02-20T15:50:00+00:00,27385.38,27610.01,224.63,0.0451,False,True,False,target_hit,orb_breakout,10.0,
37570cdb9e5d,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,SELL,1.55789607,2026-02-23,2026-02-23T14:45:00+00:00,2026-02-23,2026-02-23T15:55:00+00:00,38779.15,38550.03,229.12,0.0486,False,True,False,target_hit,orb_breakout,10.0,
f76b90f56cc0,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,BUY,1.31084199,2026-02-24,2026-02-24T14:45:00+00:00,2026-02-24,2026-02-24T15:00:00+00:00,32696.99,32580.13,-116.85,0.0104,False,True,True,stop_hit,orb_breakout,10.0,
c2c34f1410bb,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,BUY,1.90425844,2026-02-25,2026-02-25T14:45:00+00:00,2026-02-25,2026-02-25T21:30:00+00:00,48215.35,48446.71,231.37,0.2812,False,True,False,target_hit,orb_breakout,10.0,
8eedaf0034a2,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,SELL,1.71632582,2026-02-26,2026-02-26T14:45:00+00:00,2026-02-26,2026-02-26T15:10:00+00:00,43303.33,43067.33,235.99,0.0174,False,True,False,target_hit,orb_breakout,10.0,
1a9ea9604864,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,BUY,1.09132267,2026-03-02,2026-03-02T14:45:00+00:00,2026-03-03,2026-03-03T05:35:00+00:00,27164.39,27044.03,-120.36,0.6181,False,True,True,stop_hit,orb_breakout,10.0,
3c1c88362be6,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,SELL,0.96397099,2026-03-03,2026-03-03T14:45:00+00:00,2026-03-03,2026-03-03T16:20:00+00:00,23618.98,23738.13,-119.15,0.066,False,True,True,stop_hit,orb_breakout,10.0,
f2776281de95,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,BUY,0.97031187,2026-03-04,2026-03-04T15:00:00+00:00,2026-03-04,2026-03-04T17:05:00+00:00,24190.36,24426.28,235.92,0.0868,False,True,False,target_hit,orb_breakout,10.0,
622711911ecb,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,BUY,1.28981593,2026-03-05,2026-03-05T14:45:00+00:00,2026-03-05,2026-03-05T15:25:00+00:00,32359.55,32239.23,-120.32,0.0278,False,True,True,stop_hit,orb_breakout,10.0,
c0baf99929fa,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,SELL,1.23713264,2026-03-09,2026-03-09T13:45:00+00:00,2026-03-09,2026-03-09T14:00:00+00:00,30138.41,30257.53,-119.12,0.0104,False,True,True,stop_hit,orb_breakout,10.0,
ad9151e75896,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,SELL,1.17549163,2026-03-10,2026-03-10T14:05:00+00:00,2026-03-10,2026-03-10T14:25:00+00:00,29272.09,29390.02,-117.93,0.0139,False,True,True,stop_hit,orb_breakout,10.0,
00207b860b6c,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,BUY,1.24816174,2026-03-11,2026-03-11T14:00:00+00:00,2026-03-11,2026-03-11T14:20:00+00:00,31356.94,31240.2,-116.75,0.0139,False,True,True,stop_hit,orb_breakout,10.0,
51aedc25030d,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,SELL,1.40462049,2026-03-12,2026-03-12T13:45:00+00:00,2026-03-12,2026-03-12T15:10:00+00:00,34745.39,34514.23,231.16,0.059,False,True,False,target_hit,orb_breakout,10.0,
7f92ef0bcefe,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,BUY,1.2829267,2026-03-13,2026-03-13T13:45:00+00:00,2026-03-13,2026-03-13T14:10:00+00:00,31758.85,31640.96,-117.89,0.0174,False,True,True,stop_hit,orb_breakout,10.0,
6c5a6e07e2c3,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,BUY,1.93714357,2026-03-16,2026-03-16T13:45:00+00:00,2026-03-16,2026-03-16T14:35:00+00:00,47874.08,47757.37,-116.71,0.0347,False,True,True,stop_hit,orb_breakout,10.0,
fe4d86039f93,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,BUY,1.79538424,2026-03-17,2026-03-17T13:45:00+00:00,2026-03-17,2026-03-17T14:10:00+00:00,45089.28,44973.73,-115.55,0.0174,False,True,True,stop_hit,orb_breakout,10.0,
67a249bb6438,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,SELL,1.2715079,2026-03-18,2026-03-18T14:10:00+00:00,2026-03-18,2026-03-18T19:20:00+00:00,31652.6,31423.82,228.78,0.2153,False,True,False,target_hit,orb_breakout,10.0,
8468c24c1d23,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,SELL,1.34776683,2026-03-20,2026-03-20T13:50:00+00:00,2026-03-20,2026-03-20T17:35:00+00:00,32836.32,32602.96,233.36,0.1562,False,True,False,target_hit,orb_breakout,10.0,
72fe25c09c02,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,BUY,0.89723414,2026-03-23,2026-03-23T13:45:00+00:00,2026-03-23,2026-03-23T15:50:00+00:00,22049.75,21930.74,-119.01,0.0868,False,True,True,stop_hit,orb_breakout,10.0,
88b943086ce5,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,SELL,1.09419728,2026-03-24,2026-03-24T13:50:00+00:00,2026-03-24,2026-03-24T14:05:00+00:00,26441.55,26559.37,-117.82,0.0104,False,True,True,stop_hit,orb_breakout,10.0,
a7cba15b4300,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,SELL,1.36939841,2026-03-25,2026-03-25T13:50:00+00:00,2026-03-25,2026-03-25T14:10:00+00:00,33370.53,33487.17,-116.64,0.0139,False,True,True,stop_hit,orb_breakout,10.0,
dc1e8a62cf19,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,SELL,0.97390241,2026-03-26,2026-03-26T14:55:00+00:00,2026-03-26,2026-03-26T17:55:00+00:00,23473.48,23242.53,230.95,0.125,False,True,False,target_hit,orb_breakout,10.0,
70f8921ef78c,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,SELL,1.21384689,2026-03-27,2026-03-27T13:50:00+00:00,2026-03-27,2026-03-27T18:10:00+00:00,28556.05,28320.48,235.57,0.1806,False,True,False,target_hit,orb_breakout,10.0,
